Title,Publisher(s),Technical issue(s),Add-Ons,Region(s),Ref(s)
2006 FIFA World Cup,EA Sports,Sometimes the text on menu options and buttons are replaced by text from a similar object on the same screen.,,,[ 5 ] [ 16 ]
25 to Life,Eidos,Random crashes would occur when attempting to start an online match.,,NA,[ 5 ] [ 16 ]
4x4 Evo 2,Gathering of Developers,Black screen when running in 480p/720p/1080i/1080p 60 Hz display settings,,,[ 5 ]
Airforce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP),Konami,,,,[ 5 ]
Aggressive Inline,AKA Acclaim,Intro sequence is choppy.,,,[ 5 ]
Alias,Acclaim Entertainment,,,,[ 5 ]
Aliens Versus Predator: Extinction,EA Games,,,,[ 5 ]
All-Star Baseball 2003,Acclaim Sports,,,,[ 5 ]
All-Star Baseball 2005,Acclaim Entertainment,,,,[ 5 ]
America's Army: Rise of a Soldier,Ubisoft,,,,[ 5 ]
AMF Bowling 2004,Mud Duck Productions,,,NA,[ 5 ]
Amped: Freestyle Snowboarding Tenku: Freestyle Snowboarding (JP),Microsoft Game Studios,,,,[ 5 ]
Amped 2 Tenku 2 (JP),Microsoft Game Studios,There is flickering geometry during some levels. On occasion a sound effect will play repeatedly.,,,[ 5 ] [ 16 ]
APEX Racing Evoluzione (PAL),Infogrames,During the dream mode cutscene there is missing audio dialogue.,,,[ 5 ] [ 16 ]
Aquaman: Battle for Atlantis,TDK Mediactive,,,NA,[ 5 ]
Arena Football,EA Sports,Minor audio static can be heard during gameplay.,,,[ 5 ] [ 16 ]
Armed and Dangerous,LucasArts,After the first level voice audio doesn't play during game cinematics. During the opening cinematic some audio and video choppiness are present.,XBO,,[ 5 ] [ 16 ]
Army Men: Sarge's War,3DO,,,,[ 5 ]
Atari Anthology,Atari,,,,[ 5 ]
ATV: Quad Power Racing 2,AKA Acclaim,,,,[ 5 ]
Auto Modellista,Capcom,,,,[ 5 ]
Avatar: The Last Airbender,THQ,,,,[ 5 ]
Bad Boys: Miami Takedown Bad Boys II (PAL),Empire Interactive,PAL edition is not backwards compatible,,,[ 5 ]
Baldur's Gate: Dark Alliance,Interplay Entertainment,In the second zone during combat scenes there is a thirty to forty frames per second drop in performance.,,NA,[ 5 ] [ 16 ]
Baldur's Gate: Dark Alliance II,Interplay Entertainment,,,,[ 5 ]
Barbie Horse Adventures: Wild Horse Rescue,Vivendi Universal Games,The bottom half of the screen is not drawn correctly in split-screen mode.,,,[ 5 ] [ 16 ]
The Bard's Tale,Vivendi Universal Games,,,,[ 5 ]
Bass Pro Shops Trophy Hunter 2007,Vivendi Universal Games,The aiming reticule is surrounded by a box while the snowmobile suffers from a partial lack of collision.,,,[ 5 ] [ 16 ]
Batman Begins,EA Games,,,,[ 5 ]
Batman: Rise of Sin Tzu,Ubi Soft,,,,[ 5 ]
Battle Engine Aquila,Infogrames,,,,[ 5 ]
Battlestar Galactica,Vivendi Universal Games,,,,[ 5 ]
Big Bumpin',King Games,Game includes Original Xbox and Xbox 360 versions on a single disc.,,NA,[ 5 ]
Big Mutha Truckers,THQ,,,,[ 5 ]
Bionicle,"Electronic Arts , Lego Interactive",,,,[ 5 ]
Black,Electronic Arts,,XO XBO,,[ 17 ]
Black Stone: Magic & Steel Ex-Chaser (JP),Xicat Interactive,Graphics for Y button do not display correctly in Controller Settings.,,,[ 5 ] [ 16 ]
Blade II,Activision,There is a slight pause when reaching a save point.,,,[ 5 ] [ 16 ]
Blinx: The Time Sweeper,Microsoft Game Studios,This title consistently experiences slowdown.,XBO,,[ 16 ] [ 18 ]
Blinx 2: Masters of Time and Space,Microsoft Game Studios,This title experiences consistent performance problems.,,,[ 5 ] [ 16 ]
Blitz: The League,Midway Games,,,NA,[ 5 ]
Blood Omen 2,Eidos,Characters may spin in different directions randomly during cut scenes. When gaining a new ability graphical effects do not display correctly.,,,[ 5 ] [ 16 ]
BloodRayne 2,Majesco Entertainment,After reloading the checkpoint a noticeable loss in frame rate is present.,XBO,,[ 16 ] [ 12 ]
BlowOut,Majesco Entertainment,,XO,,[ 19 ]
BMX XXX,AKA Acclaim,,,,[ 5 ]
Breakdown,Namco,During gameplay system hangs on occasion while light sources show through walls.,XBO,,[ 16 ] [ 18 ]
Breeders' Cup World Thoroughbred Championships [ a ],Bethesda,Video in the Start menu skips.,,NA,[ 5 ] [ 16 ]
Brute Force,Microsoft Game Studios,,,,[ 5 ]
Buffy the Vampire Slayer,Electronic Arts,When viewing the opening logos and cinematic it will not display properly.,,,[ 5 ] [ 16 ]
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Universal Games,,,,[ 5 ]
Burger King games [ 20 ],King Games,"See Big Bumpin', PocketBike Racer, and Sneak King entries.",,NA,[ 5 ]
Burnout,Acclaim Entertainment,"During the ""USA Marathon"" track performance drops.",,,[ 5 ] [ 16 ]
Burnout 2: Point of Impact,Acclaim Entertainment,Pressing Start on attract mode will cause the game to boot back instantly. When playing split-screen races and on tracks with snow and rain effects performance slows down.,,,[ 5 ] [ 16 ]
Burnout 3: Takedown,Electronic Arts,,XO,NA PAL,[ 21 ]
Cabela's Big Game Hunter 2005 Adventures,Activision,,,,[ 5 ]
Cabela's Dangerous Hunts,Activision,,,,[ 5 ]
Cabela's Dangerous Hunts 2,Activision,,,,[ 5 ]
Cabela's Outdoor Adventures,Activision,,,,[ 5 ]
Cabela's Deer Hunt: 2004 Season,Activision,,,,[ 5 ]
Cabela's Deer Hunt: 2005 Season,Activision,,,,[ 5 ]
Call of Cthulhu: Dark Corners of the Earth,"Bethesda Softworks , 2K Games",During the prologue stage a green dot appears and will remain on screen while walking down the last set of stairs.,,,[ 5 ] [ 16 ]
Call of Duty: Finest Hour,Activision,"Prone to potentially game breaking freezing late in the Soviet campaign, very occasional minor texture flickering.",,,[ 5 ]
Call of Duty 2: Big Red One,Activision,"When playing multiplayer, dots representing the enemy do not appear in the HUD.",,,[ 5 ] [ 16 ]
Call of Duty 3,Activision,,,,[ 5 ]
Cars,THQ,When viewing cut scenes pixel color alteration will occur.,,,[ 5 ] [ 16 ]
Catwoman,EA Games,,,,[ 5 ]
Championship Manager 2006,Eidos,,,NA,[ 5 ]
Chicago Enforcer,Kemco,,,,[ 5 ]
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Buena Vista Games,,,,[ 5 ]
Circus Maximus: Chariot Wars,Encore,,,,[ 5 ]
Close Combat: First to Fight,2K Games,,,,[ 5 ]
Colin McRae Rally 04,Codemasters,"Frametiming (fluidity) issues during racing. Slowdown during corners on some tracks. Race timer is unaffected, leading to overall increased difficulty. Playing in bumper camera resolves this. Letters and characters such as in text and menus have graphical artifacts.",,,[ 5 ]
Colin McRae Rally 2005,Codemasters,"While on the main menu there is some texture flickering in the background image. Before the start of a race graphical artifacts appear on text on screen. During single and multiplayer races there are severe fluidity issues, inconstant frame rate and screen tearing.",,,[ 5 ] [ 16 ]
Combat Elite: WWII Paratroopers,SouthPeak Interactive,,,,[ 5 ]
Commandos 2: Men of Courage,Eidos,,,,[ 5 ]
Conflict: Desert Storm,SCi,,,,[ 5 ]
Conker: Live & Reloaded,Microsoft Game Studios,"Loading screens will not appear, occasional system hangs during gameplay and local multiplayer. Effects such as dust and smoke will not render correctly. The game crashes when entering the Dung Beetle dungeon.",XBO,,[ 16 ] [ 18 ]
Constantine,THQ,,,,[ 5 ]
Counter-Strike,Microsoft Game Studios,When playing in VGA/HD video mode performance drops occur during single player mode high bot matches.,,,[ 5 ] [ 16 ]
Crash Bandicoot: The Wrath of Cortex,Vivendi Games,,XO,NA PAL,[ 22 ] [ 23 ]
Crash Nitro Kart,Vivendi Universal Games,Runs at 30 fps in 720p in 480p the game runs at 60fps.,,NA PAL,[ 5 ] [ 16 ]
Crash Twinsanity,Vivendi Universal Games,Certain sections may experience slowdown and frame rate issues. Audio may desync in cutscenes.,,,[ 5 ]
Crime Life: Gang Wars,Konami,Random cut scenes display a static image while audio plays normally. There is an occasional crash during the loading screen.,,,[ 5 ] [ 16 ]
Crimson Skies: High Road to Revenge,Microsoft Game Studios,,XO XBO,,[ 12 ] [ 22 ]
"Crouching Tiger, Hidden Dragon",Ubi Soft,,,,[ 5 ]
The Da Vinci Code,2K Games,There are some environments that are transparent. There is some skipping during the cut scenes.,,,[ 5 ] [ 16 ]
Dai Senryaku VII: Modern Military Tactics Daisenryaku VII (JP),Kemco,"After the opening logos, a dirty disc error is occasionally displayed.",,,[ 5 ] [ 16 ]
Dark Angel,Vivendi Universal Games,,,,[ 5 ]
Darkwatch,Capcom,"The ""Invasion"" mission is unplayable – trying to start it causes the game to either freeze or exit to the main interface showing an error message, making it impossible to proceed with the story. The intro sequence is choppy and skipping it makes the game freeze after pressing the Start button at the title screen.",,,[ 5 ]
Dave Mirra Freestyle BMX 2,Acclaim Max Sports,The sky is corrupted in the Attract Mode. There is also a random performance drop during gameplay.,,,[ 5 ] [ 16 ]
Dead or Alive 3,Tecmo,,XBO,,[ 5 ]
Dead or Alive Ultimate,Tecmo,A random crash may occur before starting the opening movie. Slowdowns during certain stages.,XBO,,[ 5 ] [ 16 ]
Dead to Rights,Namco,Flickering during third helicopter fight on mission #6. Temporary performance drops on stage #7.,XBO,,[ 16 ] [ 12 ]
Deathrow,Ubi Soft,,,,[ 5 ]
Destroy All Humans!,THQ,The weapon sounds cut out during periods of high activity.,XO XBO,,[ 16 ] [ 18 ] [ 24 ] [ 25 ] [ 26 ]
Digimon Rumble Arena 2,Bandai,"Issue only present in the Japanese version, save data title is shown in English.",,,[ 5 ] [ 16 ]
Dinotopia: The Sunstone Odyssey,TDK Mediactive,Game subtitles and background font are showing poorly. When in mission #1 player attack on training dummy frame-rate drops during attacking.,,NA PAL,[ 5 ]
Doom 3,Activision,,,,[ 5 ]
Doom 3: Resurrection of Evil,Activision,,,,[ 5 ]
Drake of the 99 Dragons,Majesco Entertainment,,,NA,[ 5 ]
Dreamfall: The Longest Journey,Aspyr Media,,XO,,[ 27 ] [ 28 ] [ 29 ]
Drive to Survive Mashed: Fully Loaded (PAL),Empire Interactive,A short pause in gameplay will occur when taunting.,,,[ 5 ] [ 16 ]
Dungeons & Dragons: Heroes,Atari,,,,[ 5 ]
Dynasty Warriors 4 Shin Sangokumusou 3 (JP),Koei,Game progress may not save correctly. Severe frame rate drops when many characters are on-screen. Minor visual artifacts on some menus.,,,[ 5 ]
Egg Mania: Eggstreme Madness,Kemco,,,,[ 5 ]
The Elder Scrolls III: Morrowind,Bethesda Softworks,The load game screenshots will fail to render correctly.,XBO,,[ 16 ] [ 18 ]
ESPN College Hoops,Sega,,,,[ 5 ]
ESPN College Hoops 2K5,Sega,"During the intro video, there is some choppiness.",,NA,[ 5 ] [ 16 ]
ESPN Major League Baseball,Sega,"Controller sometimes fails to vibrate outside of the strike zone, logos on player uniforms sometimes flicker and occasional choppy animations when video mode is set to 1080i.",,,[ 5 ] [ 16 ]
ESPN MLS ExtraTime 2002,Konami,,,,[ 5 ]
ESPN NFL 2K5,Sega,,,,[ 5 ]
ESPN NHL 2K5,Sega,There are texture issues throughout the gameplay and gameplay splash screens.,,,[ 5 ] [ 16 ]
Evil Dead: A Fistful of Boomstick,THQ,,,,[ 5 ]
Evil Dead: Regeneration,THQ,Some in-game light sources engulf large portions of the screen. There is some random crashing.,,,[ 5 ] [ 16 ]
F1 2001,EA Sports,,,,[ 5 ]
Fable,Microsoft Game Studios,"Occasionally there is an audio ""scratch"" or static popping sound.",XO,,[ 16 ] [ 22 ]
Fable: The Lost Chapters,Microsoft Game Studios,,,,[ 5 ]
The Fairly OddParents: Breakin' da Rules,THQ,,,,[ 5 ]
Family Guy Video Game!,2K Games,,,,[ 5 ]
Fantastic Four,Activision,There is a random crash during the first full-motion video.,,,[ 5 ] [ 16 ]
Far Cry Instincts,Ubisoft,"During three-person split-screen, there is graphic distortion and loss of control. There are jagged horizontal lines in the attract mode on 480p/720p displays. Frame rate drops during the second mission, and there are visible texture seams while riding the zipline in the mines. When using a melee attack after transformation, the knife audio effect plays. The checkpoints do not save when running in PAL-50.",,,[ 5 ] [ 16 ]
Fatal Frame Project Zero (PAL),"Tecmo , Microsoft Game Studios","The PAL version ""Project Zero"" is not supported. Missing video during a ghost introduction cutscene in the mansion.
Some alpha textures on the main character's hair are broken.",,,[ 5 ] [ 16 ]
Fatal Frame II: Crimson Butterfly Project Zero II: Crimson Butterfly (PAL),Tecmo,,,,[ 5 ]
FIFA Football 2003,EA Sports,,,,[ 5 ]
FIFA Football 2004,EA Sports,,,,[ 5 ]
FIFA 06,EA Sports,The in-game cut scenes are blurry as well as the penalty shootouts.,,,[ 5 ]
FIFA 07,EA Sports,"The frame rate drops on the opening video, and the in-game cut scenes are blurry.",,,[ 5 ] [ 16 ]
FIFA Street,EA Sports BIG,,,,[ 5 ]
FIFA Street 2,EA Sports BIG,,,,[ 5 ]
Fight Night 2004,EA Sports,"Has on some hairstyles problems, to display. And something it has slowdowns.",,,[ 5 ]
Fight Night Round 3,EA Sports,,,,[ 5 ]
Final Fight: Streetwise,Capcom,"The audio and video are not synced in the cut scenes while there is minor flickering in the cinematics. There is a performance slowdown during gameplay when there is a significant number of objects on screen, and the floor texture is missing in the Pier 15 area of Chapter 3.",,,[ 5 ] [ 16 ]
FlatOut,Empire Interactive,,,,[ 5 ]
Ford Mustang: The Legend Lives,2K Games,,,,[ 5 ]
Ford vs. Chevy,Global Star Software,,,,[ 5 ]
Forgotten Realms: Demon Stone,Atari,"In Chapter 4, there is a texture dropout in the cut scene. In Chapters 4 and 5, the unlockable concept art videos do not play. There is a small vertical dotted line distortion on the right side of the heads-up display.",,,[ 5 ] [ 16 ]
Forza Motorsport,Microsoft Game Studios,"Frame rate is lower and unstable if compared to the original experience. There are some artifacts in the decals menu. Occasionally, you can hear audio noises. The loading animation does not appear, except for when high scores are being saved.",,,[ 5 ]
Freaky Flyers,Midway Games,The frame rate occasionally drops during the game.,,,[ 5 ] [ 16 ]
Freedom Fighters,EA Games,,,NA,[ 5 ]
Freestyle Street Soccer Urban Freestyle Soccer (PAL),Acclaim Entertainment,,,,[ 5 ]
Frogger Beyond,Konami,,,,[ 5 ]
Frogger: Ancient Shadow,Konami,,,,[ 5 ]
Full Spectrum Warrior,THQ,,XBO,,[ 5 ] [ 18 ]
Full Spectrum Warrior: Ten Hammers,THQ,There is some improper aliasing on player models and environment.,,,[ 5 ] [ 16 ]
Futurama,"SCi Games , Vivendi Universal Games",,,,[ 5 ]
Future Tactics: The Uprising,"JoWooD Productions , Crave Entertainment",,,,[ 5 ]
Fuzion Frenzy,Microsoft Game Studios,,XO XBO,,[ 12 ] [ 22 ]
Gauntlet: Seven Sorrows,Midway Games,,XO,,[ 30 ]
Genma Onimusha,Capcom,,,,[ 5 ]
Goblin Commander: Unleash the Horde,Jaleco Entertainment,,,,[ 5 ]
Godzilla: Destroy All Monsters Melee,Infogrames,,,,[ 5 ]
Godzilla: Save the Earth,Atari,,,,[ 5 ]
GoldenEye: Rogue Agent,EA Games,The PAL version is not backwards compatible.,,,[ 5 ]
Grabbed by the Ghoulies,Microsoft Game Studios,Video output is too narrow on VGA with 1280x1024 resolution. This can be remedied by selecting a different output resolution. There is a chance of save data corruption when the game is booted up. Lightbulbs may show a checkerboard pattern instead of light effect.,XO XBO,,[ 16 ] [ 12 ] [ 31 ]
Grand Theft Auto III,Rockstar Games,There is some chugging during the intro. Major frame rate slowdown while driving. Radio is quiet during gameplay.,,,[ ref 1 ]
Grand Theft Auto: Double Pack [ 34 ],Rockstar Games,See GTA 3 and Vice City entries.,,,[ ref 1 ]
Grand Theft Auto: San Andreas,Rockstar Games,"Audio sometimes cuts out randomly during cutscenes, or sometimes audio lag. Vehicle explosions would cause it to flicker. Most notably the fire trucks.",XO,,[ 35 ] [ 36 ]
Grand Theft Auto: Vice City,Rockstar Games,There is some chugging during the intro. Major frame rate slowdown while driving. Radio is quiet during gameplay.,,,[ 5 ] [ 16 ]
Grand Theft Auto: The Trilogy [ 37 ],Rockstar Games,"See GTA 3, Vice City, and San Andreas entries.",,,[ 5 ]
Gravity Games Bike: Street Vert Dirt,Midway Games,Only works in 480p.,,,[ 5 ]
The Great Escape,Gotham Games,,,,[ 5 ]
Greg Hastings Tournament Paintball MAX'D,Activision,"During system link and online gameplay, players may be randomly teleported.",,,[ 5 ] [ 16 ]
Grooverider: Slot Car Thunder,Encore,,,,[ 5 ]
Guilty Gear Isuka,Sammy,,,,[ 5 ]
Guilty Gear X2 #Reload,Majesco Entertainment,,XO,,[ 38 ]
The Guy Game,Gathering,"There is audio choppiness in videos under the bonus unlockables, and on the extra videos at the end of an episode.",,NA,[ 5 ] [ 16 ]
Half-Life 2,Valve,This game does not play on PAL-60 televisions with composite cabling. This does not affect PAL-50 televisions. Screen corruption in attract mode will occur after the console has been idle for a long period of time.,,,[ 5 ] [ 16 ]
Halo: Combat Evolved,Microsoft Game Studios,,,,[ 22 ]
Halo 2,Microsoft Game Studios,"Performance problems while playing on the Backwash map. Occasionally the player may observe ""ghost"" images displayed on the screen. Playing the Gravemind stage in Campaign displays ghost images as well. According to Microsoft, the workaround for this issue is to return to the Dashboard and restart the game.",,,[ 5 ] [ 16 ]
Halo 2 Multiplayer Map Pack,Microsoft Game Studios,,,,[ 5 ]
Harry Potter and the Chamber of Secrets,EA Games,Certain objects have no graphics while there is a frames-per-second issue.,,,[ 5 ] [ 16 ]
Harry Potter and the Goblet of Fire,Electronic Arts,,,,[ 5 ]
Harry Potter and the Prisoner of Azkaban,EA Games,"An occasional hard lock occurs when switching to cut scenes. Occasionally, enemies will become stuck in a loop or just stuck to the environment.",,,[ 5 ] [ 16 ]
Harry Potter and the Sorcerer's Stone Harry Potter and the Philosopher's Stone (PAL),EA Games,,,,[ 5 ]
He-Man: Defender of Grayskull,Midas Interactive Entertainment,"An Xbox version was planned but never released, however this title is included on Microsoft's official backwards compatible list.",,Unreleased,[ 5 ] [ 39 ]
High Heat Major League Baseball 2004,3DO,,,NA,[ 5 ]
High Rollers Casino [ b ],Mud Duck Productions,,,,[ 5 ]
Hitman: Contracts,Eidos,,,,[ 5 ]
Hot Wheels: Stunt Track Challenge,THQ,,,,[ 5 ]
The House of the Dead III,Sega,Slowdowns during certain sections of the game. House of the Dead 2 has severe graphical issues and huge slowdowns and sometimes speeds up randomly.,,,[ 5 ]
Hulk,Vivendi Universal Games,,,,[ 5 ]
Hunter: The Reckoning,Interplay Entertainment,,XBO,,[ 18 ]
I-Ninja,Namco,The frame rate drops in World 3 Central map.,,,[ 5 ] [ 16 ]
IHRA Drag Racing: Sportsman Edition,Bethesda Softworks,,,,[ 5 ]
IHRA Professional Drag Racing 2005,Bethesda Softworks,,,,[ 5 ]
The Incredible Hulk: Ultimate Destruction,Vivendi Universal Games,"Flickering textures, black bars during cinematics sometimes flicker too.",,,[ 5 ]
The Incredibles Mr. Incredible (JP),THQ,Skyscraper textures are swapped to Mr. Incredible's textures,,,[ 5 ]
The Incredibles: Rise of the Underminer,THQ,,,,[ 5 ]
Indiana Jones and the Emperor's Tomb,LucasArts,"Some sound effects are out of sync, and there is a random crash on the last level.",XBO,,[ 5 ] [ 16 ]
Indigo Prophecy Fahrenheit (PAL),Atari,,XO,,[ 22 ]
IndyCar Series 2005,Codemasters,,,,[ 5 ]
Intellivision Lives!,Crave Entertainment,,XO,,[ 24 ]
Jade Empire,Microsoft Game Studios,The Monk Zeng content from the limited edition became available as of the December 2005 update.,XO XBO,,[ 18 ] [ 40 ]
Jet Set Radio Future,Sega,"There is graphical flickering in the main menu. Some particle effects in 99th street cause heavy frame drops as well as unknown frame drops in various other stages (Dogenzaka Hill, Fortified Rezidential Zone).",,,[ 5 ] [ 16 ]
Judge Dredd: Dredd vs. Death,Evolved Games,Slowdowns and slightly distracting ground and wall flickering during gameplay.,,,[ 5 ]
Jurassic Park: Operation Genesis,"Vivendi Universal Games , Konami",,,,[ 5 ]
Justice League Heroes,Eidos,Text still appears when scrolling through the upgrade menu screen. There are performance drops during game play. There are some texture issues.,,,[ 5 ] [ 16 ]
Kabuki Warriors,Crave Entertainment,,,,[ 5 ]
Kelly Slater's Pro Surfer,Activision,,,,[ 5 ]
Kill Switch,Namco,,,,[ 5 ]
King Arthur,Konami,Minor video stuttering occurs during the actual movie videos.,,,[ 5 ] [ 16 ]
The King of Fighters Neowave,SNK Playmore,,XBO,,[ 12 ]
The King of Fighters 2002 & 2003,SNK Playmore,KOF 2002 shows corrupted sprite frames.,,,[ 5 ]
Kingdom Under Fire: The Crusaders,Microsoft Game Studios,"Game hangs when selecting ""Create Match"" after editing a party.",,,[ 5 ] [ 16 ]
The Legend of Spyro: A New Beginning,Vivendi Games,,XO,,[ 38 ]
Lego Star Wars: The Video Game,Eidos,,,,[ 5 ]
Lego Star Wars II: The Original Trilogy,LucasArts,,,,[ 5 ]
Leisure Suit Larry: Magna Cum Laude,Vivendi Universal Games,Incorrect textures are loaded as the player progresses.,,,[ 5 ] [ 16 ]
Lemony Snicket's A Series of Unfortunate Events,Activision,,,,[ 5 ]
Links 2004,Microsoft Game Studios,,,,[ 5 ] [ 16 ]
Loons: The Fight for Fame,Infogrames,,,,[ 5 ]
The Lord of the Rings: The Return of the King,EA Games,Slowdown during in game cutscenes. Gameplay is fine.,,,[ 5 ]
The Lord of the Rings: The Third Age,EA Games,,,,[ 5 ] [ 16 ]
Magatama,Microsoft Game Studios,,XO,J,[ 23 ]
Magic: The Gathering – Battlegrounds,Atari,,,,[ 5 ]
Manhunt,Rockstar Games,,XBO,,[ 5 ]
Marvel Nemesis: Rise of the Imperfects,EA Games,,,,[ 5 ]
Marvel vs. Capcom 2: New Age of Heroes,Capcom,There is some severe artifacting on character sprites.,,,[ 5 ] [ 16 ]
Mat Hoffman's Pro BMX 2,Activision O2,No widescreen support. Boston level loads with blue textures that obstruct the screen.,,,[ 5 ]
Max Payne,Rockstar Games,The game has some minor slowdown.,XO XBO,,[ 41 ]
Max Payne 2: The Fall of Max Payne,Rockstar Games,,XO XBO,,
Maximum Chase,Majesco Entertainment,Live action cinematics are choppy.,,,[ 5 ]
MechAssault 2: Lone Wolf,Microsoft Game Studios,,,,[ 5 ]
Medal of Honor: European Assault,EA Games,,,,[ 5 ]
Medal of Honor: Frontline,EA Games,,,,[ 5 ]
Medal of Honor: Rising Sun,EA Games,"Framerate constantly drops, and when you try to save your progress after completing a mission, the game does not save despite saying ""saving.""",,,[ 5 ]
Mega Man Anniversary Collection,Capcom,"In Mega Man 8, there are some graphical glitches where certain sprites, such as Mega Man's running sprite, glitch out and stutter. The videos that are unlockable in the game also stutter badly.",,,[ 5 ]
Mercenaries: Playground of Destruction,LucasArts,"The thumbnail map will not render correctly. During the China campaign, there are random system hang-ups that prevent player progress.",XBO,,[ 16 ] [ 18 ]
Metal Arms: Glitch in the System,Vivendi Games,Minor frame drops occur.,XO,,[ 42 ]
Micro Machines,Infogrames,,,,[ 5 ]
Mike Tyson Heavyweight Boxing,Codemasters,,,,[ 5 ]
Minority Report: Everybody Runs,Activision,,,,[ 5 ]
MLB Slugfest 2003,Midway Games,"All resolutions above 480i / 480p show no video. There is text corruption throughout the game in the menu, gameplay, pause, and other screens.",,,[ 5 ] [ 16 ]
MLB Slugfest 2004,Midway Games,,,,[ 5 ]
MLB Slugfest: Loaded,Midway Games,,,NA,[ 5 ]
Monster Garage,Activision,,,,[ 5 ]
Mortal Kombat: Armageddon,Midway Games,The Press Start screen has severe flickering.,,NA,[ 5 ] [ 16 ]
Mortal Kombat: Deception,Midway Games,There is flickering on the title screen.,,,[ 5 ] [ 16 ]
MotoGP,THQ,,,,[ 5 ]
