Title,Publisher(s),Technical issue(s),Add-Ons,Region(s),Ref(s)
MotoGP 2,THQ,Engine sound effects play louder than normal setting when at higher speeds. Engine sounds crackle and cut out during races. The option to assign keys to the Right Trigger in the Settings menu is missing. Tutorial videos shake and flash.,,,[ 5 ] [ 16 ]
MVP Baseball 2003,EA Sports,,,NA,[ 5 ]
MVP Baseball 2004,EA Sports,,,NA,[ 5 ]
MTV Music Generator 3: This Is the Remix,Codemasters,The game performs at a severely low frame-rate when on the Files menu.,,,[ 5 ]
MTX Mototrax,Activision,The loading progress bar is missing.,,,[ 5 ] [ 16 ]
Murakumo: Renegade Mech Pursuit,Ubi Soft,,,,[ 5 ]
MX Unleashed,THQ,The shadows flicker when leaving the starting gate. Loading screens have a silver box behind the text. Distant trees flicker in and out on the Montauk Plains Freestyle stage.,XBO,,[ 16 ] [ 18 ]
MX vs. ATV Unleashed,THQ,"When entering or leaving a race, graphics are polarized. There is object rendering difficulty on the horizon during a waypoint race. Shadows flicker in the THQ SX championship on the Tucson track.",,,[ 5 ] [ 16 ]
MX World Tour Featuring Jamie Little,Crave Entertainment,,,,[ 5 ]
Myst III: Exile,Ubi Soft,,,,[ 5 ]
Namco Museum,Namco,The arrangement game dig dug arrangement found in this version of Namco Museum causes a crash immediately during gameplay. Halting player's progress the solution is to eject the game disc and restart the game,,,[ 5 ]
Namco Museum 50th Anniversary Arcade Collection,Namco,,,,[ 5 ]
NASCAR 06: Total Team Control,EA Sports,,,,[ 5 ]
NASCAR Thunder 2002,EA Sports,"There is audio static throughout the game, and the performance drops when the rear view mirror is enabled.",,NA,[ 5 ] [ 16 ]
NASCAR Thunder 2003,EA Sports,"Framerate is sluggish, and there is also audio static throughout the game. The audio effects are loud when in the in-car view, and there is some flickering in the Pause menu.",,NA,[ 5 ] [ 16 ]
NBA Ballers,Midway Games,,,,[ 5 ]
NBA Inside Drive 2002,Microsoft Game Studios,,,,[ 5 ]
NBA 2K3,Sega,,,NA,[ 5 ]
NBA Live 2002,EA Sports,,,,[ 5 ]
NBA Live 2004,EA Sports,,,,[ 5 ]
NBA Street V3,EA Sports BIG,There is audio stuttering in the introductory video.,,,[ 5 ] [ 16 ]
NCAA College Basketball 2K3,Sega,,,,[ 5 ]
NCAA Football 06,EA Sports,Player speed while sprinting is very slow. During gameplay there is some audio static.,,,[ 5 ] [ 16 ]
NCAA March Madness 06,EA Sports,"Performance problems occur during the intro video. There is some audio stutter during the game setup, and minor audio static occurs during gameplay.",,NA,[ 5 ] [ 16 ]
NCAA March Madness 2005,EA Sports,Video stutters during the introductory video.,,NA,[ 5 ] [ 16 ]
Need for Speed: Underground 2,EA Games,"Cutscenes stutter and lag. 2-Player Split-screen camera breaks for Player 2 and shows more of Player 1's camera, rendering split-screen play unplayable.",,,[ 5 ]
NFL 2K2,Sega,,,NA,[ 5 ]
NFL 2K3,Sega,,,NA,[ 5 ]
NFL Blitz 2002,Midway Games,,,,[ 5 ]
NFL Blitz 2003,Midway Games,,,,[ 5 ]
NFL Blitz Pro,Midway Games,,,,[ 5 ]
NFL Fever 2004,Microsoft Game Studios,,,,[ 5 ]
NHL 2004,EA Sports,,,,[ 5 ]
NHL 2005,EA Sports,Audio and video are out of sync in the introductory cinematic.,,,[ 5 ] [ 16 ]
NHL 2K3,Sega,"A random crash will occur at the loading screen when launching a quick game. During system link games, there are performance drops and random de-syncing between consoles. There are minor performance drops during gameplay, and after a goal is scored, an audio squeal can be heard.",,NA,[ 5 ] [ 16 ]
NHL Hitz 2003,Midway Games,,,,[ 5 ]
NHL Hitz Pro,Midway Games,"During faceoffs and replays, there is minor flickering on the players.",,,[ 5 ] [ 16 ]
NightCaster,Microsoft Game Studios,"Audio dialogue ends early during the gameplay, and there is a minor performance drop during the opening and closing of the spellbook.",,,[ 5 ] [ 16 ]
Ninja Gaiden,Tecmo,The unlockable NES arcade games cannot be played.,,,[ 5 ] [ 16 ]
Ninja Gaiden Black,Tecmo,This title is rendered at a slightly reduced speed on PAL-50 televisions. The game runs normally under PAL-60. The unlockable NES arcade game can't be played.,XO XBO,,[ 16 ] [ 17 ] [ 12 ]
Oddworld: Munch's Oddysee,Infogrames,"The frame rate drops during in-game cinematics, and the sound effects sound very distant.",XBO,,[ 5 ] [ 16 ]
Open Season,Ubisoft,The camera is jittery when running uphill on the Beaver Damage Stage.,,,[ 5 ] [ 16 ]
Outlaw Golf 2,Global Star Software,,,,[ 5 ]
Outlaw Golf 9 More Holes of X-mas,Simon & Schuster,Frame rate drops during gameplay.,,,[ 5 ] [ 16 ]
Outlaw Tennis,Global Star Software,,,,[ 5 ]
Outlaw Volleyball,Simon & Schuster,Flickering background graphics occur during a match.,,,[ 5 ] [ 16 ]
Outlaw Volleyball: Red Hot,Simon & Schuster,,,,[ 5 ]
OutRun 2,Microsoft Game Studios,Audio loops occasionally get stuck. Graphics do not always stream in time around checkpoints. Performance drops during game play.,,,[ 5 ] [ 16 ]
OutRun 2006: Coast 2 Coast,Sega,"The loading screen hangs for quite a long time, but eventually the game starts and plays as expected.",,,[ 5 ] [ 16 ]
Over the Hedge,Activision,,,,[ 5 ]
Pac-Man World 3,Namco,Character motion can be blurry.,,,[ 5 ] [ 16 ]
Panzer Dragoon Orta,Sega,,XBO,,[ 18 ]
Panzer Elite Action: Fields of Glory,JoWooD Entertainment,,XBO,PAL,[ 18 ]
Pariah,Groove Games,"There is a minor, but recurring, drop in performance during gameplay. The Loading bar does not display until it is almost full. There is a green line in the pre-game introduction video.",,,[ 5 ] [ 16 ]
Phantom Crash,Phantagram,Audio does not work in cutscenes. The game also does not play music. Low framerate during game play.,,,[ 5 ]
Phantom Dust,"Majesco Entertainment , Microsoft Game Studios",The system occasionally hangs during gameplay.,,,[ 5 ] [ 16 ]
Pinball Hall of Fame: The Gottlieb Collection,Crave Entertainment,,,,[ 5 ]
Pitfall: The Lost Expedition,Activision,,,,[ 5 ]
Playboy: The Mansion,"Arush Entertainment , Groove Games",,,,[ 5 ]
Predator: Concrete Jungle,Vivendi Universal Games,,,,[ 5 ]
Prince of Persia: The Sands of Time,Ubisoft,Frame drops on larger areas when enemies are present. Unlockable mini-games do not play correctly for this title.,XBO,,[ 16 ] [ 12 ]
Pro Race Driver TOCA Race Driver (PAL),Codemasters,,,,[ 5 ]
Project Gotham Racing,Microsoft Game Studios,There are severe FPS drops on several maps.,,,[ 5 ] [ 16 ]
Project Gotham Racing 2,Microsoft Game Studios,Cars don't render properly in Car Select and Transmission Select. The car radio does not work in-game.,,,[ 5 ] [ 16 ]
PocketBike Racer,King Games,Game includes Original Xbox and Xbox 360 versions on a single disc.,,NA,[ 5 ]
Psychonauts,Majesco Entertainment,"The game has a tendency to apply the pause menu texture to Raz's clothing upon closing it, turning it blue.",XO XBO,NA PAL,[ 22 ] [ 23 ]
Pump It Up: Exceed,Mastiff,,,,[ 5 ]
The Punisher,THQ,,,,[ 5 ]
Pure Pinball,XS Games,,,,[ 5 ]
Puyo Pop Fever,Sega,,XO,J,[ ref 2 ]
Quantum Redshift,Microsoft Game Studios,,,,[ 5 ]
RalliSport Challenge,Microsoft Game Studios,Loading screen is visually broken. Game occasionally ignores input of the start button.,,,[ 5 ]
Rapala Pro Fishing,Activision,"The compass fails to load in certain levels, and fish can become stuck in the rocks when on the line.",,,[ 5 ] [ 16 ]
Rayman Arena,Ubi Soft,,,,[ 5 ]
Raze's Hell,Majesco Entertainment,,XO,,[ 44 ]
Red Dead Revolver,Rockstar Games,"There is some graphics flicker in HD video mode, which can be resolved by switching to 480p video output. When fighting the boss ""Bad Bessie"", if the player gets too close to her the game will freeze. A workaround can be found on a GameFAQs forum. [ 45 ]",XBO,,[ 5 ] [ 16 ]
Red Faction II,THQ,,XBO,,[ 12 ]
RedCard 2003,Midway Games,,,,[ 5 ]
Reservoir Dogs,Eidos,,,,[ 5 ]
Return to Castle Wolfenstein: Tides of War,Activision,Heavy framerate drops on some levels.,,,[ 5 ] [ 46 ]
Richard Burns Rally,SCi,Game play pauses during Exercise in the Rally School.,,PAL,[ 5 ] [ 16 ] [ 47 ]
Run Like Hell,Interplay Entertainment,,,,[ 5 ]
RoadKill,Midway Games,"Main Menu does not display. Press A to launch single player mode. Widescreen mode is activated, but is squished to 4:3 480p widescreen and HD resolutions. Only will switching to HD VGA modes and changing the aspect ratio to 4:3 will fix this issue.",,,[ 5 ] [ 16 ]
Robin Hood: Defender of the Crown,"ZOO Digital Group, Capcom",,,,[ 5 ]
Robotech: Battlecry,TDK Mediactive,,,,[ 5 ]
Rocky,Ubisoft,,,NA,[ 5 ]
Rocky Legends,Ubisoft,,,,[ 5 ]
Rogue Ops,Kemco,,,,[ 5 ]
Rogue Trooper,Eidos,,,,[ 5 ]
Rugby 06,EA Sports,"There is audio stuttering during the gameplay, and players render as a dark silhouette on the right side of the field but only during the first game played.",,,[ 5 ] [ 16 ]
Rugby League 2,Tru Blu Entertainment,,,,[ 5 ]
Samurai Jack: The Shadow of Aku,Sega,"An Xbox version was planned but never released, however this title is included on Microsoft's official backwards compatible list.",,Unreleased,[ 48 ] [ 49 ] [ 5 ]
Samurai Warriors,Koei,,,,[ 5 ]
Scarface: The World Is Yours,Vivendi Games,,,,[ 5 ]
Scooby-Doo! Night of 100 Frights,THQ,"Game crashes on the final boss, making it impossible to complete the game on this version.",,,[ 5 ]
Scrapland,Enlight Software,,,,[ 5 ]
Sega GT 2002,Sega,Title plays very slowly. Occasional crashes during replays and occasional moderate frame rate drops.,,,[ 5 ] [ 16 ]
Sega GT Online,Sega,Performance drops too low on many levels.,,,[ 5 ] [ 16 ]
Sega Soccer Slam,Sega,,XO,,[ 44 ]
Serious Sam,Gathering of Developers,,,,[ 5 ]
Shadow Ops: Red Mercury,Atari,Performance drops with poor frame-per-second rate in gameplay. PAL edition not backwards compatible.,,,[ 5 ] [ 16 ]
Shadow the Hedgehog,Sega,"The game may occasionally or often crash during cutscenes, levels, loading screens and when skipping cutscenes. switching the console manually to 480p can make it less common. The cgi cutscenes are slowed down to 15 FPS.",,,[ 5 ]
Shamu's Deep Sea Adventures,Activision,,,,[ 5 ]
Shark Tale,Activision,While running at 480p in-game cinematics are choppy. A random crash will occur during the Dreamworks cinematic.,,,[ 5 ] [ 16 ]
Shattered Union,2K Games,,,,[ 5 ]
Shellshock: Nam '67,Eidos,,,,[ 5 ]
Shenmue II,Microsoft Game Studios,"All shadows and most post-processing effects do not appear. Trying to switch screen filters doesn't work, only pausing the game for a moment and continuing like nothing happened. Trying to play Space Harrier and Hang-On will crash the game.",,,[ 5 ]
Shinchou Mahjong (Nobunaga Mahjong),E-Frontier,A line-like graphic is displayed near the character's neck.,,,[ 5 ] [ 16 ]
Shrek 2,Activision,,,,
Shrek Super Party,TDK Mediactive,,,,[ 5 ]
Sid Meier's Pirates!,2K Games,"While sailing on the world map, there are occasional choppy animations. The German version of the game has a bug that doesn't allow dividing the plunder, making the game unbeatable. 2K never fixed the bug on Xbox or Xbox One. The game did not get sold as an Xbox Original in Germany. [ 50 ] [ 51 ]",XO XBO,,[ 16 ] [ 17 ] [ 12 ]
Silent Hill 2: Restless Dreams,Konami,The PAL version will only display a Black Screen. NTSC works but has numerous glitches. Textures will sometimes fail to load resulting in either completely white or see-through environments or wrongly assigned textures. The flashlight illuminates around the player instead of only in front of them. There is a save file glitch where you cannot save multiple saves on the same file. You can only overwrite the previous file or make a new one entirely otherwise the game will display a black screen the next time you start it up. The close-up screens for the puzzles will sometimes display the wrong screen.,,,[ 5 ]
Silent Hill 4: The Room,Konami,Visible seams on NPCs' faces during cutscenes.,,,[ 5 ] [ 16 ]
The Simpsons: Hit & Run,Vivendi Universal Games,Significant screen-tearing throughout (manually dropping the Xbox 360's resolution to 480p yields moderate improvements).,,,[ 5 ]
The Simpsons: Road Rage,Electronic Arts,Missing some character voices. Noticeable on character select screen and when dropping off someone at their destination. Framerate tends to drop during game,,,[ 5 ]
The Sims 2,Electronic Arts,,,,[ 5 ]
Smashing Drive,Namco,,,,[ 5 ]
Sneak King,King Games,Game includes Original Xbox and Xbox 360 versions on a single disc.,,NA,[ 5 ]
Sneakers,Microsoft Game Studios,,,NA PAL,[ 5 ]
Sonic Heroes,Sega,Higher resolutions cause pixelated/jagged textures on UI elements and Some UI elements have lines on them.  Recap of pre-rendered cutscenes play their respective audio over the credits overlapping the respective teams' story mode song(Not on PAL version). Credits scroll slightly slower so they will still continue after the respective Team's Song. CGI cutscenes run at about 15FPS.,,,[ 5 ]
Sonic Mega Collection Plus,Sega,,,,[ 5 ]
Sonic Riders,Sega,"Pre rendered videos on menus can easily start flickering, glitching out or not working, it usually happens when going back and forth from most menus, but it can happen by itself, videos viewed in the theatre mode can even become seizure inducing with the screen turning white every other frame. The game runs worse than on original Xbox the more players are on a race.",,,[ 5 ]
Soulcalibur II,Namco,The controller vibration does not work.,,,[ 5 ] [ 16 ]
Spawn: Armageddon,Namco,,,,[ 5 ]
Speed Kings,Acclaim Entertainment,,,,[ 5 ]
Sphinx and the Cursed Mummy,THQ,,XBO,,[ 5 ]
Spider-Man,Activision,Minor frame rate drops.,,,[ 5 ]
Spider-Man 2,Activision,Textures flicker during the game.,,,[ 5 ] [ 16 ]
Splat Magazine Renegade Paintball,Take-Two Interactive,,,,[ 5 ]
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,"Skybox texture will sometimes glitch, showing a tesselation of random colors.",,,[ 5 ]
"SpongeBob SquarePants: Lights, Camera, Pants!",THQ,,,,[ 5 ]
The SpongeBob SquarePants Movie,THQ,Certain textures load incorrectly in the game.,,,[ 5 ] [ 16 ]
SpyHunter 2,Midway Games,,,,[ 5 ]
SpyHunter: Nowhere to Run,Midway Games,,,,[ 5 ]
Spyro: A Hero's Tail,Vivendi Universal Games,"May freeze in the middle of gameplay. Also, whilst selectable, the minigame and art View options from the menu screen will not appear, leaving you with a blank screen, which can be blindly navigated.",,,[ 5 ]
SSX 3,EA Sports BIG,This title has minor graphical glitches.,XBO,,[ 16 ] [ 18 ]
Stake: Fortune Fighters,"Metro3D, Inc.",,,,[ 5 ]
Star Wars: Battlefront,LucasArts,"In some instances, system link games may freeze. The ice cave on the ""Rhen Var Harbor"" map has major texture flickering.",XBO,,[ 16 ] [ 18 ]
Star Wars: Battlefront II,LucasArts,,XBO,,[ 18 ]
Star Wars Episode III: Revenge of the Sith,LucasArts,,XBO,,[ 5 ]
Star Wars Jedi Knight: Jedi Academy,LucasArts,Cannot play split-screen games for this title.,XBO,,[ 16 ] [ 18 ]
Star Wars: Jedi Starfighter,LucasArts,"Minor slowdown during menu selections and transitions, minor performance issues during cut scenes. Items on HUD may randomly become solid instead of transparent.",XBO,,[ 16 ] [ 18 ]
Star Wars: Knights of the Old Republic,LucasArts,,XBO,,[ 12 ]
Star Wars: Knights of the Old Republic II – The Sith Lords,LucasArts,Severe audio glitches: soundtrack and combat music will cut out after a series of intermittent buzzing-like sounds usually in the menu screen. Severe framerate drops during combat. Player characters will freeze in place and phase ahead instead of walking/running. Save file corruption is also a distinct possibility. The game should be played exclusively on the first generation Xbox for an optimal experience.,XBO,,[ 18 ]
Star Wars: Republic Commando,LucasArts,,XBO,,[ 18 ]
Starsky and Hutch,Empire Interactive,,,,[ 5 ]
State of Emergency,Rockstar Games,,,,[ 5 ]
Street Fighter Anniversary Collection,Capcom,,,,[ 5 ]
Street Racing Syndicate,Namco,,,,[ 5 ]
Stubbs the Zombie in Rebel Without a Pulse,Aspyr Media,,XO,,[ 30 ]
The Suffering,Midway Games,,,,[ 5 ]
Super Bubble Pop,Jaleco,,,,[ 5 ]
Super Monkey Ball Deluxe,Sega,"The game emulates lag incorrectly, causing stages such as Warp and Speedy Jam to slow down much more than on an original Xbox. There is a serious issue where Monkey Fight DX has a serious graphical rendering issue rendering Monkey Fight DX unplayable. Monkey Soccer DX suffers from a glitch where the screen goes black with an infinite soccer ball kick sound effect playing repeatedly in a loop. On PAL systems, the subtitled speech bubbles in story mode cutscenes are out of sync. The game also takes over 2 minutes to start up.",,,[ 5 ]
SX Superstar,AKA Acclaim,,,,[ 5 ]
Syberia II,XS Games,Game takes almost a minute to load from the Xbox splash screen. There are graphical issues when moving between screens.,,,[ 5 ] [ 16 ]
Taz: Wanted,Infogrames,"During World 3, Stage 2: Haunted there is a partially mis-textured graphic. The reconnect controller screen is not displayed.",,,[ 5 ] [ 16 ]
Teenage Mutant Ninja Turtles,Konami,,,,[ 5 ]
Teenage Mutant Ninja Turtles: Mutant Melee,Konami,The introductory video stutters.,,,[ 5 ] [ 16 ]
The Terminator: Dawn of Fate,Infogrames,,,,[ 5 ]
Terminator 3: Rise of the Machines,Atari,There is a minor performance drop during gameplay. The black bars are not positioned properly at 640x480 VGA.,,,[ 5 ] [ 16 ]
Test Drive,Infogrames,There are minor performance drops and minor texture flickering during gameplay. Character voices are missing during cut scenes from stage 35 until end of game.,,NA,[ 5 ] [ 16 ]
Test Drive: Eve of Destruction Driven to Destruction (PAL),Atari,,,,[ 5 ]
Tetris Worlds,THQ,The opening video displays a grey screen with audio only upon starting the game.,,,[ 5 ] [ 16 ]
Thief: Deadly Shadows,Eidos,,,,[ 5 ]
The Thing,Vivendi Universal Games,,,,[ 5 ]
Thousand Land,FromSoftware,,,,[ 5 ]
Thrillville,LucasArts,"There is an occasional random crash during gameplay. The Pirate Raiders mini-game sometimes loads without environments. In the Event Horizon mini-game, enemy sprites are missing and are replaced by a white rectangle.",XBO,,[ 5 ] [ 16 ]
Tiger Woods PGA Tour 07,EA Games,,,,[ 5 ]
Tom and Jerry in War of the Whiskers,NewKidCo,,,,[ 5 ]
Tom Clancy's Ghost Recon,Ubi Soft,,,,[ 5 ]
Tom Clancy's Ghost Recon 2,Ubisoft,Night vision doesn't work properly in split-screen multiplayer.,,,[ 5 ] [ 16 ]
Tom Clancy's Ghost Recon 2: Summit Strike,Ubisoft,"In split-screen multiplayer games, the screen is completely black.",,,[ 5 ] [ 16 ]
Tom Clancy's Ghost Recon: Island Thunder,Ubi Soft,In-game voice chat is not working.,,,[ 5 ] [ 16 ]
Tom Clancy's Rainbow Six 3,Ubisoft,,,,[ 5 ]
Tom Clancy's Rainbow Six 3: Black Arrow,Ubisoft,,,,[ 5 ]
Tom Clancy's Rainbow Six: Lockdown,Ubisoft,,,,[ 5 ]
Tom Clancy's Splinter Cell,Ubi Soft,,XBO,,[ 5 ]
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft,,XO XBO,,[ 42 ]
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,"When accessing Versus Mode, the system occasionally hangs and the video signal is corrupted. Frame rate drops in the second and third missions. The Save File Snapshot Photo is corrupted after saving.",XBO,,[ 5 ] [ 16 ]
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,,XBO,,[ 5 ]
Tony Hawk's American Wasteland,Activision,Cheats don't work and there is constant freezing when opening tabs.,,,[ 5 ]
Tony Hawk's Pro Skater 2X,Activision,There are graphic obstructions in system link.,,,[ 5 ] [ 16 ]
Tony Hawk's Pro Skater 3,Activision,Client soft locks after the host leaves a system link game. Game will freeze at the Xbox logo unless playing with the console’s resolution set to 480p or by playing with AV Cables. Does not run at full frame rate.,,,[ 5 ] [ 16 ]
Tony Hawk's Pro Skater 4,Activision,The loading progress bar is missing. Game will freeze at the Xbox logo unless playing with the console’s resolution set to 480p or by playing with AV Cables.,[ 5 ],,
Tony Hawk's Underground,Activision,The loading progress bar is missing.,,,[ 5 ]
Tony Hawk's Underground 2,Activision,Heavy framerate chugging and loss; loading progress bar is missing.,,,[ 5 ]
Torino 2006,2K Games,,,,[ 5 ]
Tork: Prehistoric Punk,Ubisoft,,,,[ 5 ]
Toxic Grind,THQ,,,,[ 5 ]
Transworld Surf,Infogrames,,,,[ 5 ] [ 16 ]
Trigger Man,Crave Entertainment,,,,[ 5 ]
Trivial Pursuit: Unhinged,Atari,Stuttering occurs during the logo animations during start-up on the splash screen. Texture errors on occur on command prompts.,,,[ 5 ] [ 16 ]
True Crime: Streets of LA,Activision,"When operating the car, a small indistinct screen appears. Graphic defects are displayed around the track name.",,,[ 5 ] [ 16 ]
Turok: Evolution,Acclaim Entertainment,During gameplay there are flickering textures.,,,[ 5 ] [ 16 ]
Ty the Tasmanian Tiger,EA Games,,,,[ 5 ]
Ty the Tasmanian Tiger 2: Bush Rescue,EA Games,,,,[ 5 ]
Ty the Tasmanian Tiger 3: Night of the Quinkan,Activision,,,,[ 5 ]
UEFA Euro 2004 [ c ],EA Sports,,,,[ 5 ]
Ultimate Spider-Man,Activision,,,,[ 5 ]
Ultra Bust-a-Move Ultra Puzzle Bobble (JP),Majesco Entertainment,,,,[ 5 ]
Unreal Championship 2: The Liandri Conflict,Midway Games,"The frame rate drops in the Story Mode character selection screen. There are occasional system hangs during Instant Action games, and after leaving the game while navigating back to the Xbox Dashboard. There are some missing textures on the Eternal map.",XBO,,[ 5 ] [ 16 ]
The Urbz: Sims in the City,EA Games,In the Cozmo Street area the game stutters. While on loading screens random system hardlocks will occur.,,,[ 5 ] [ 16 ]
Van Helsing,Vivendi Universal Games,At the top edge of the main menu and mission briefing screens there is flickering.,,,[ 5 ] [ 16 ]
Vexx,Acclaim Entertainment,,,,[ 5 ]
Vietcong: Purple Haze,Gathering,,,,[ 5 ]
Volvo: Drive For Life,Microsoft Game Studios,,,,[ 5 ]
Wakeboarding Unleashed Featuring Shaun Murray,Activision,,,,[ 5 ]
WarPath,Groove Games,,,NA,[ 5 ]
Whacked!,Microsoft Game Studios,"On boot, theres a high chance the Microsoft Game Studios and Presto Studios FMVs will not play. Loading screens do not display correctly. While on the High Rise level characters will flicker. During the Space Walk level there is some texture tearing when in combat or being knocked off the platform.",,,[ 5 ] [ 16 ]
WinBack 2: Project Poseidon,Koei,When switching to character B there are some missing textures.,,,[ 5 ] [ 16 ]
Without Warning,Capcom,"Some texture corruption, gameplay freezes briefly.",,,[ 5 ] [ 16 ]
World Series Baseball 2K3,Sega,,,,[ 5 ]
World Soccer Winning Eleven 8 International Pro Evolution Soccer 4 (PAL) World Soccer: Winning Eleven 8 (JP),Konami,,,,[ 5 ]
World Soccer Winning Eleven 9 International [ d ] Pro Evolution Soccer 5 (PAL) World Soccer: Winning Eleven 9 (JP),Konami,,,,[ 5 ]
Worms 3D,Sega,,,,[ 5 ]
Worms 4: Mayhem,"Codemasters , Majesco Entertainment",,,,[ 5 ]
Worms Forts: Under Siege,Sega,,,,[ 5 ]
Wrath Unleashed,LucasArts,"Upon completion of a battle the ""You are Victorious"" audio file may play twice. Only weapons and armor of the models are drawn. Game units ""Centaur"" and ""Centabra"" will not display on the map.",,,[ 5 ] [ 16 ]
WWE Raw 2,THQ,,,,[ 5 ]
WWF Raw,THQ,When six characters are present on screen the game runs very slowly.,,,[ 5 ] [ 16 ]
X2: Wolverine's Revenge,Activision,"When approaching locker cabinets they will flash. Characters/surrounding environments experience minor, occasional texture flickering on later levels",,,[ 5 ] [ 16 ]
Xiaolin Showdown,Konami,,,,[ 5 ]
XIII,Ubisoft,,,,[ 5 ]
Yourself!Fitness,Respondesign,,,,[ 5 ]
Yu-Gi-Oh! The Dawn of Destiny,Konami,During system link play random crashes and system hardlocks will occur.,,,[ 5 ] [ 16 ]
Zapper: One Wicked Cricket,Infogrames,,XO,,[ 52 ]
Zathura,2K Games,During the first level there is missing audio in the pre-rendered video.,,,[ 5 ] [ 16 ]
